Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.08.02,-8.500517,51.894671,0,A,2,LTE,-119,-13,5,6,-94,1925,37,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.03,-8.500517,51.894671,0,A,2,LTE,-116,-13,3,7,-94,2013,38,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.04,-8.500517,51.894671,0,A,2,LTE,-116,-13,3,6,-94,1297,24,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.05,-8.500517,51.894671,0,A,2,LTE,-119,-13,3,6,-94,2527,80,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.06,-8.500517,51.894671,0,A,2,LTE,-119,-13,3,6,-94,1744,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.07,-8.500517,51.894671,0,A,2,LTE,-116,-14,4,6,-94,1263,43,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.08,-8.500517,51.894671,0,A,2,LTE,-116,-14,4,6,-94,2180,53,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.09,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,7,-94,1800,37,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.10,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,7,-94,1532,28,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.11,-8.500517,51.894671,0,A,2,LTE,-113,-13,8,7,-94,1610,30,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.13,-8.500517,51.894671,0,A,2,LTE,-113,-13,8,6,-94,2147,43,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.14,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,6,-94,2639,49,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.15,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,6,-94,514,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.16,-8.500517,51.894671,0,A,2,LTE,-117,-13,7,6,-94,2281,59,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.17,-8.500517,51.894671,0,A,2,LTE,-117,-13,7,6,-94,1599,30,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.18,-8.500517,51.894671,0,A,2,LTE,-116,-14,6,6,-94,1644,30,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.19,-8.500517,51.894671,0,A,2,LTE,-116,-14,6,6,-94,1655,31,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.20,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,6,-94,1867,65,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.21,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,6,-94,1767,33,D,-,-,-8.491719,51.893905,609.7
